"AppName","ResourceGroup","ServicePlan","ResourceType","Kind","State","Location","Subscription","DefaultHostName"
"c7-pr-auea-apps-cin7capital","c7-pr-auea-rgrp-cin7capital","c7-pr-auea-spln-cin7capital","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-cin7capital.azurewebsites.net"
"c7-pr-auea-apps-api-01","c7-pr-auea-rgrp-api","c7-pr-auea-spln-api","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-api-01.azurewebsites.net"
"c7-pr-auea-apps-b2bv2client-01","c7-pr-auea-rgrp-b2b","c7-pr-auea-spln-b2b","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-b2bv2client-01.azurewebsites.net"
"c7-pr-auea-apps-b2bv2service-01","c7-pr-auea-rgrp-b2b","c7-pr-auea-spln-b2b","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-b2bv2service-01.azurewebsites.net"
"c7-pr-auea-apps-wms-01","c7-pr-auea-rgrp-wms","c7-pr-auea-spln-wms-01","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-wms-01.azurewebsites.net"
"c7-pr-auea-apps-legacyportal","c7-pr-auea-rgrp-legacyportal","c7-pr-auea-spln-legacyportal","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-legacyportal.azurewebsites.net"
"c7-pr-auea-apps-cloudjob","c7-pr-auea-rgrp-cloud","c7-pr-auea-spln-cloudjob","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-cloudjob.azurewebsites.net"
"c7-pr-auea-apps-cloudjob2","c7-pr-auea-rgrp-cloud","c7-pr-auea-spln-cloudjob","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-cloudjob2.azurewebsites.net"
"c7-pr-auea-apps-cloud","c7-pr-auea-rgrp-cloud","c7-pr-auea-spln-cloud","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-cloud.azurewebsites.net"
"c7-pr-auea-apps-payment","c7-pr-auea-rgrp-application","c7-pr-auea-spln-shared","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-payment.azurewebsites.net"
"c7-pr-auea-apps-edi","c7-pr-auea-rgrp-application","c7-pr-auea-asp01","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-edi.azurewebsites.net"
"c7-pr-auea-apps-contactlog","c7-pr-auea-rgrp-application","c7-pr-auea-spln-shared","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-contactlog.azurewebsites.net"
"c7-pr-auea-apps-maint","c7-pr-auea-rgrp-application","c7-pr-auea-spln-shared","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-maint.azurewebsites.net"
"c7-pr-auea-apps-appstore","c7-pr-auea-rgrp-application","c7-pr-auea-spln-shared","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-appstore.azurewebsites.net"
"c7-pr-auea-apps-posapi","c7-pr-auea-rgrp-application","c7-pr-auea-spln-shared","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-posapi.azurewebsites.net"
"c7-pr-auea-apps-snapshot-reports","c7-pr-auea-rgrp-application","c7-pr-auea-spln-shared","WebApp","app","Stopped","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-snapshot-reports.azurewebsites.net"
"c7-pr-auea-apps-ediconsole","c7-pr-auea-rgrp-application","c7-pr-auea-asp01","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-ediconsole.azurewebsites.net"
"c7-pr-auea-apps-identity","c7-pr-auea-rgrp-application","c7-pr-auea-spln-identity","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-identity.azurewebsites.net"
"c7-pr-auea-apps-reports","c7-pr-auea-rgrp-application","c7-pr-auea-spln-main","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-reports.azurewebsites.net"
"c7-pr-auea-apps-wms","c7-pr-auea-rgrp-application","c7-pr-auea-asp01","WebApp","app","Running","Australia East","10364ee7-4ee6-443b-ac08-e1277dc0857b","c7-pr-auea-apps-wms.azurewebsites.net"
